login,contributions
toxtli,28287
brianchandotcom,21085
fabpot,12947
andrew,10188
taylorotwell,8376
egoist,7688
HugoGiraudel,7658
ornicar,7341
bebraw,6895
nelsonic,6501
alexcrichton,6145
jonathanong,5763
mikermcneil,5736
benbalter,5699
jxnblk,5601
yegor256,5566
orta,5453
rstacruz,5313
GrahamCampbell,5135
afc163,5069
kamranahmedse,4994
joshaber,4941
bkeepers,4873
kennethreitz,4873
kytrinyx,4866
STRML,4855
atmos,4826
weierophinney,4820
agentzh,4740
steipete,4694
ai,4664
mikepenz,4659
nvie,4609
hadley,4607
appleboy,4592
Rich-Harris,4580
drnic,4570
rafaelfranca,4556
Ocramius,4553
mitchellh,4541
stof,4521
IgorMinar,4516
phodal,4496
jwiegley,4475
geerlingguy,4443
dcramer,4435
sebastianbergmann,4390
brunocvcunha,4329
ljharb,4277
jdalton,4139
sevilayha,4122
paulmillr,4061
tmm1,4046
c9s,3980
zcbenz,3899
holman,3891
kevinsawicki,3830
yihui,3748
buckyroberts,3719
kbrsh,3716
dmalan,3704
mhevery,3649
mgechev,3621
kylef,3523
chjj,3522
ayende,3444
mcollina,3385
mdo,3367
yoshuawuyts,3319
muan,3309
kentcdodds,3284
jskeet,3273
mitsuhiko,3253
steveklabnik,3240
hzoo,3188
Caged,3179
dlew,3157
technoweenie,3156
gaearon,3155
soumith,3144
feross,3130
michalbe,3103
brianleroux,3102
willdurand,3094
alexjlockwood,3083
matsko,3070
stefanpenner,3068
adamwathan,3064
Haacked,3055
curran,3054
rauchg,3047
ianstormtaylor,3042
KrauseFx,3002
tj,2933
jgm,2926
jverkoey,2922
chenglou,2895
DataTables,2894
SamyPesse,2883
mjhea0,2856
0x00A,2846
tmcw,2821
brentvatne,2810
carpedm20,2745
benjamn,2743
notwaldorf,2706
miyagawa,2695
rnystrom,2690
photonstorm,2658
mattn,2656
dougwilson,2655
JakeWharton,2654
yyx990803,2645
krzysztofzablocki,2632
eduardolundgren,2629
vjeux,2602
mxcl,2586
domenic,2570
alex,2556
mrdoob,2555
josegonzalez,2516
fzaninotto,2507
pissang,2472
jamesmontemagno,2427
paulcbetts,2414
paulirish,2412
samdark,2403
madskristensen,2394
sokra,2391
marijnh,2378
alanhamlett,2377
wesm,2367
josevalim,2361
jennybc,2361
BurntSushi,2348
zenorocha,2341
contra,2333
jaredhanson,2329
radar,2315
bevacqua,2310
xudafeng,2308
j2kun,2273
dominictarr,2259
avelino,2234
vinta,2213
developit,2199
ashleygwilliams,2193
ashfurrow,2192
f,2178
onevcat,2166
toddmotto,2153
gdi2290,2153
EisenbergEffect,2151
ankane,2134
keijiro,2128
nolimits4web,2127
davidfowl,2123
biezhi,2113
LeaVerou,2110
davidtmiller,2110
odersky,2102
vhf,2093
soffes,2083
mxstbr,2048
Jinjiang,2038
happypeter,2023
yeasy,2004
mafintosh,2001
vczh,2001
Draveness,1963
ded,1963
vladikoff,1958
bnoordhuis,1954
jendewalt,1953
jessfraz,1952
indutny,1946
olivergierke,1936
i5ting,1929
laanwj,1912
drakeet,1911
thejameskyle,1867
ahmetb,1866
sdiehl,1865
jaywcjlove,1859
gitster,1859
djspiewak,1858
evilsocket,1846
mariotaku,1845
shama,1833
CamDavidsonPilon,1830
dsyer,1813
winterbe,1798
dennybritz,1785
arun-gupta,1785
maryrosecook,1776
killme2008,1760
IanLunn,1757
ruanyf,1755
binux,1745
nfultz,1731
leah,1728
